key,value
block,1
seconds,10
seconds/day,86400
blocks/day,8640
days/year,365.2425
seconds/year,31556952
blocks/year,3155695.2
GxdataZero,4
GxdataNonZero,68
GxminTransaction,21000
gas limit per block (decimal),10485760
block gas limit,0xa00000
EDI X12 4010 Transaction Size (in bytes),"1,136"
EDI X12 4010 Transaction Cost (in gwei),4544
"Network Size per Year, bytes",0
"Network Size per Year, gigabytes",486.615625
Gwei/Gas limit per block (decimal),10485760
"EDI X12 4010 Transaction Sets, throughput",135.7415079
EDI X12 Transactions Per Block,135.7415079
Total Float,428358824.8